FREQ,REF_AREA,DATA_TYPE,RESULT,TIME_PERIOD,OBS_VALUE,Codice Provincia/Uts,Codice Comune (numerico),Comune,Popolazione residente,Superficie (Kmq),Anno (Popolazione residente),_merge
A,1013,ROADACC,9,2022,39,201.0,1013.0,Avigliana,12351.0,23.2172,2020.0,both
A,1013,ROADACC,9,2023,40,201.0,1013.0,Avigliana,12351.0,23.2172,2020.0,both
A,1013,ROADACC,9,2024,34,201.0,1013.0,Avigliana,12351.0,23.2172,2020.0,both
A,1014,KILLINJ,F,2020,0,201.0,1014.0,Azeglio,1235.0,9.9605,2020.0,both
A,1014,KILLINJ,F,2021,0,201.0,1014.0,Azeglio,1235.0,9.9605,2020.0,both
A,1014,KILLINJ,F,2022,1,201.0,1014.0,Azeglio,1235.0,9.9605,2020.0,both
A,1014,KILLINJ,F,2023,0,201.0,1014.0,Azeglio,1235.0,9.9605,2020.0,both
A,1014,KILLINJ,F,2024,3,201.0,1014.0,Azeglio,1235.0,9.9605,2020.0,both
A,1014,KILLINJ,M,2020,0,201.0,1014.0,Azeglio,1235.0,9.9605,2020.0,both
A,1014,KILLINJ,M,2021,0,201.0,1014.0,Azeglio,1235.0,9.9605,2020.0,both
A,1014,KILLINJ,M,2022,0,201.0,1014.0,Azeglio,1235.0,9.9605,2020.0,both
A,1014,KILLINJ,M,2023,0,201.0,1014.0,Azeglio,1235.0,9.9605,2020.0,both
A,1014,KILLINJ,M,2024,0,201.0,1014.0,Azeglio,1235.0,9.9605,2020.0,both
A,1014,ROADACC,9,2020,0,201.0,1014.0,Azeglio,1235.0,9.9605,2020.0,both
A,1014,ROADACC,9,2021,0,201.0,1014.0,Azeglio,1235.0,9.9605,2020.0,both
A,1014,ROADACC,9,2022,1,201.0,1014.0,Azeglio,1235.0,9.9605,2020.0,both
A,1014,ROADACC,9,2023,0,201.0,1014.0,Azeglio,1235.0,9.9605,2020.0,both
A,1014,ROADACC,9,2024,2,201.0,1014.0,Azeglio,1235.0,9.9605,2020.0,both
A,1015,KILLINJ,F,2020,2,201.0,1015.0,Bairo,787.0,7.0859,2020.0,both
A,1015,KILLINJ,F,2021,2,201.0,1015.0,Bairo,787.0,7.0859,2020.0,both
A,1015,KILLINJ,F,2022,2,201.0,1015.0,Bairo,787.0,7.0859,2020.0,both
A,1015,KILLINJ,F,2023,3,201.0,1015.0,Bairo,787.0,7.0859,2020.0,both
A,1015,KILLINJ,F,2024,2,201.0,1015.0,Bairo,787.0,7.0859,2020.0,both
A,1015,KILLINJ,M,2020,1,201.0,1015.0,Bairo,787.0,7.0859,2020.0,both
A,1015,KILLINJ,M,2021,0,201.0,1015.0,Bairo,787.0,7.0859,2020.0,both
A,1015,KILLINJ,M,2022,0,201.0,1015.0,Bairo,787.0,7.0859,2020.0,both
A,1015,KILLINJ,M,2023,0,201.0,1015.0,Bairo,787.0,7.0859,2020.0,both
A,1015,KILLINJ,M,2024,0,201.0,1015.0,Bairo,787.0,7.0859,2020.0,both
A,1015,ROADACC,9,2020,2,201.0,1015.0,Bairo,787.0,7.0859,2020.0,both
A,1015,ROADACC,9,2021,2,201.0,1015.0,Bairo,787.0,7.0859,2020.0,both
A,1015,ROADACC,9,2022,2,201.0,1015.0,Bairo,787.0,7.0859,2020.0,both
A,1015,ROADACC,9,2023,2,201.0,1015.0,Bairo,787.0,7.0859,2020.0,both
A,1015,ROADACC,9,2024,2,201.0,1015.0,Bairo,787.0,7.0859,2020.0,both
A,1016,KILLINJ,F,2020,9,201.0,1016.0,Balangero,3064.0,13.0063,2020.0,both
A,1016,KILLINJ,F,2021,3,201.0,1016.0,Balangero,3064.0,13.0063,2020.0,both
A,1016,KILLINJ,F,2022,3,201.0,1016.0,Balangero,3064.0,13.0063,2020.0,both
A,1016,KILLINJ,F,2023,4,201.0,1016.0,Balangero,3064.0,13.0063,2020.0,both
A,1016,KILLINJ,F,2024,11,201.0,1016.0,Balangero,3064.0,13.0063,2020.0,both
A,1016,KILLINJ,M,2020,0,201.0,1016.0,Balangero,3064.0,13.0063,2020.0,both
A,1016,KILLINJ,M,2021,0,201.0,1016.0,Balangero,3064.0,13.0063,2020.0,both
A,1016,KILLINJ,M,2022,0,201.0,1016.0,Balangero,3064.0,13.0063,2020.0,both
A,1016,KILLINJ,M,2023,0,201.0,1016.0,Balangero,3064.0,13.0063,2020.0,both
A,1016,KILLINJ,M,2024,1,201.0,1016.0,Balangero,3064.0,13.0063,2020.0,both
A,1016,ROADACC,9,2020,4,201.0,1016.0,Balangero,3064.0,13.0063,2020.0,both
A,1016,ROADACC,9,2021,2,201.0,1016.0,Balangero,3064.0,13.0063,2020.0,both
A,1016,ROADACC,9,2022,3,201.0,1016.0,Balangero,3064.0,13.0063,2020.0,both
A,1016,ROADACC,9,2023,4,201.0,1016.0,Balangero,3064.0,13.0063,2020.0,both
A,1016,ROADACC,9,2024,7,201.0,1016.0,Balangero,3064.0,13.0063,2020.0,both
