ID_COMUNE,COMUNE,OBS_VALUE,RESIDENTI,SUPERFICIE (KMQ),DENSITA_POPOLAZIONE,DENSITA_INCIDENTI,INCIDENTI_PRO_CAPITE(1000)
1295,Vestignè,14,765,12.0691,63.38500799562519,1.159987074429742,18.300653594771244
1296,Vialfrè,1,242,4.6453,52.09566658773384,0.21527134953609026,4.132231404958678
1298,Vidracco,0,495,2.9677,166.79583515854029,0.0,0.0
1299,Vigone,27,5070,41.1543,123.19490308424636,0.6560675312178801,5.325443786982248
1300,Villafranca Piemonte,20,4489,50.7854,88.39154560168868,0.3938139701567773,4.455335263978615
1301,Villanova Canavese,8,1194,4.0306,296.2338113432244,1.9848161564035132,6.700167504187605
1302,Villarbasse,13,3467,10.4088,333.08354469295216,1.2489432019060795,3.749639457744448
1303,Villar Dora,23,2785,5.7067,488.02285033381816,4.030350290009989,8.258527827648114
1304,Villareggia,12,996,11.4091,87.29873522013129,1.0517919906039914,12.048192771084338
1305,Villar Focchiardo,20,1948,25.6868,75.83661647227369,0.7786100253826868,10.266940451745379
1306,Villar Pellice,5,1045,60.2927,17.332114833139002,0.08292877910592825,4.784688995215311
1307,Villar Perosa,21,3888,11.4228,340.37188780334066,1.8384284063452043,5.401234567901234
1308,Villastellone,33,4504,19.8767,226.59697032203536,1.6602353509385361,7.326820603907638
1309,Vinovo,70,15070,17.6941,851.6963281545826,3.9561209668759645,4.6449900464499
1310,Virle Piemonte,5,1151,14.0573,81.8791659849331,0.3556870807338536,4.344048653344918
1311,Vische,9,1189,17.0748,69.63478342352472,0.5270925574530888,7.5693860386879726
1312,Vistrorio,1,518,4.6817,110.64356964350556,0.21359762479441227,1.9305019305019306
