ID_COMUNE,DATA_TYPE,RESULTS,TIME_PERIOD,OBS_VALUE,CODICE PROVINCIA,COMUNE,RESIDENTI,SUPERFICIE (KMQ)
1012,incidenti_stradali,incidenti,2022,3,201,Arignano,1080,8.1668
1012,incidenti_stradali,incidenti,2023,1,201,Arignano,1080,8.1668
1012,incidenti_stradali,incidenti,2024,1,201,Arignano,1080,8.1668
1013,morti_e_feriti,feriti,2020,39,201,Avigliana,12351,23.2172
1013,morti_e_feriti,feriti,2021,32,201,Avigliana,12351,23.2172
1013,morti_e_feriti,feriti,2022,50,201,Avigliana,12351,23.2172
1013,morti_e_feriti,feriti,2023,54,201,Avigliana,12351,23.2172
1013,morti_e_feriti,feriti,2024,47,201,Avigliana,12351,23.2172
1013,morti_e_feriti,morti,2020,0,201,Avigliana,12351,23.2172
1013,morti_e_feriti,morti,2021,0,201,Avigliana,12351,23.2172
1013,morti_e_feriti,morti,2022,0,201,Avigliana,12351,23.2172
1013,morti_e_feriti,morti,2023,1,201,Avigliana,12351,23.2172
1013,morti_e_feriti,morti,2024,1,201,Avigliana,12351,23.2172
1013,incidenti_stradali,incidenti,2020,25,201,Avigliana,12351,23.2172
1013,incidenti_stradali,incidenti,2021,20,201,Avigliana,12351,23.2172
1013,incidenti_stradali,incidenti,2022,39,201,Avigliana,12351,23.2172
1013,incidenti_stradali,incidenti,2023,40,201,Avigliana,12351,23.2172
1013,incidenti_stradali,incidenti,2024,34,201,Avigliana,12351,23.2172
1014,morti_e_feriti,feriti,2020,0,201,Azeglio,1235,9.9605
1014,morti_e_feriti,feriti,2021,0,201,Azeglio,1235,9.9605
1014,morti_e_feriti,feriti,2022,1,201,Azeglio,1235,9.9605
1014,morti_e_feriti,feriti,2023,0,201,Azeglio,1235,9.9605
1014,morti_e_feriti,feriti,2024,3,201,Azeglio,1235,9.9605
1014,morti_e_feriti,morti,2020,0,201,Azeglio,1235,9.9605
1014,morti_e_feriti,morti,2021,0,201,Azeglio,1235,9.9605
1014,morti_e_feriti,morti,2022,0,201,Azeglio,1235,9.9605
1014,morti_e_feriti,morti,2023,0,201,Azeglio,1235,9.9605
1014,morti_e_feriti,morti,2024,0,201,Azeglio,1235,9.9605
1014,incidenti_stradali,incidenti,2020,0,201,Azeglio,1235,9.9605
1014,incidenti_stradali,incidenti,2021,0,201,Azeglio,1235,9.9605
1014,incidenti_stradali,incidenti,2022,1,201,Azeglio,1235,9.9605
1014,incidenti_stradali,incidenti,2023,0,201,Azeglio,1235,9.9605
1014,incidenti_stradali,incidenti,2024,2,201,Azeglio,1235,9.9605
1015,morti_e_feriti,feriti,2020,2,201,Bairo,787,7.0859
1015,morti_e_feriti,feriti,2021,2,201,Bairo,787,7.0859
1015,morti_e_feriti,feriti,2022,2,201,Bairo,787,7.0859
1015,morti_e_feriti,feriti,2023,3,201,Bairo,787,7.0859
1015,morti_e_feriti,feriti,2024,2,201,Bairo,787,7.0859
1015,morti_e_feriti,morti,2020,1,201,Bairo,787,7.0859
1015,morti_e_feriti,morti,2021,0,201,Bairo,787,7.0859
1015,morti_e_feriti,morti,2022,0,201,Bairo,787,7.0859
1015,morti_e_feriti,morti,2023,0,201,Bairo,787,7.0859
1015,morti_e_feriti,morti,2024,0,201,Bairo,787,7.0859
1015,incidenti_stradali,incidenti,2020,2,201,Bairo,787,7.0859
1015,incidenti_stradali,incidenti,2021,2,201,Bairo,787,7.0859
1015,incidenti_stradali,incidenti,2022,2,201,Bairo,787,7.0859
1015,incidenti_stradali,incidenti,2023,2,201,Bairo,787,7.0859
1015,incidenti_stradali,incidenti,2024,2,201,Bairo,787,7.0859
1016,morti_e_feriti,feriti,2020,9,201,Balangero,3064,13.0063
1016,morti_e_feriti,feriti,2021,3,201,Balangero,3064,13.0063
1016,morti_e_feriti,feriti,2022,3,201,Balangero,3064,13.0063
1016,morti_e_feriti,feriti,2023,4,201,Balangero,3064,13.0063
1016,morti_e_feriti,feriti,2024,11,201,Balangero,3064,13.0063
1016,morti_e_feriti,morti,2020,0,201,Balangero,3064,13.0063
