Codice Provincia/Uts,Codice Comune (numerico),Comune,Popolazione residente,Superficie (Kmq),Anno (Popolazione residente)
4,4052,Castellino Tanaro,286,11.5178,2020
4,4053,Castelmagno,59,49.307,2020
4,4054,Castelnuovo di Ceva,100,6.2621,2020
4,4055,Castiglione Falletto,701,4.7202,2020
4,4056,Castiglione Tinella,832,11.6345,2020
4,4057,Castino,463,15.5227,2020
4,4058,Cavallerleone,668,16.4378,2020
4,4059,Cavallermaggiore,5447,51.5946,2020
4,4060,Celle di Macra,82,31.1052,2020
4,4061,Centallo,6877,42.4848,2020
4,4062,Ceresole Alba,2007,37.0496,2020
4,4063,Cerretto Langhe,410,10.1423,2020
4,4064,Cervasca,5143,18.2419,2020
4,4065,Cervere,2242,18.5961,2020
4,4066,Ceva,5592,43.1656,2020
4,4067,Cherasco,9401,81.5351,2020
4,4068,Chiusa di Pesio,3577,95.0188,2020
4,4069,Cigliè,185,6.1219,2020
4,4070,Cissone,82,5.9034,2020
4,4071,Clavesana,812,17.1508,2020
4,4072,Corneliano d'Alba,2120,10.0878,2020
4,4073,Cortemilia,2244,24.9874,2020
4,4074,Cossano Belbo,928,20.5398,2020
4,4075,Costigliole Saluzzo,3333,15.3423,2020
4,4076,Cravanzana,374,8.1183,2020
4,4077,Crissolo,154,52.0529,2020
4,4078,Cuneo,55822,119.6691,2020
4,4079,Demonte,1895,127.3063,2020
4,4080,Diano d'Alba,3604,17.5432,2020
4,4081,Dogliani,4572,35.6829,2020
4,4082,Dronero,6981,58.9574,2020
4,4083,Elva,87,26.2196,2020
4,4084,Entracque,777,160.7314,2020
4,4085,Envie,1946,24.9305,2020
4,4086,Farigliano,1694,16.4418,2020
4,4087,Faule,467,7.03,2020
4,4088,Feisoglio,297,7.6666,2020
4,4089,Fossano,24333,130.1434,2020
4,4090,Frabosa Soprana,743,47.1437,2020
4,4091,Frabosa Sottana,1588,37.6433,2020
4,4092,Frassino,264,17.0106,2020
4,4093,Gaiola,566,4.9691,2020
4,4094,Gambasca,341,5.7412,2020
4,4095,Garessio,2902,131.281,2020
4,4096,Genola,2605,13.7224,2020
4,4097,Gorzegno,257,13.9699,2020
4,4098,Gottasecca,124,13.6769,2020
4,4099,Govone,2260,18.9108,2020
4,4100,Grinzane Cavour,1995,3.8082,2020
4,4101,Guarene,3516,13.4459,2020
4,4102,Igliano,64,3.4042,2020
4,4103,Isasca,75,5.0784,2020
4,4104,Lagnasco,1460,17.7124,2020
4,4105,La Morra,2717,24.1658,2020
4,4106,Lequio Berria,452,11.8291,2020
4,4107,Lequio Tanaro,746,12.2004,2020
4,4108,Lesegno,816,14.2414,2020
4,4109,Levice,201,15.739,2020
4,4110,Limone Piemonte,1440,70.8104,2020
4,4111,Lisio,189,8.2287,2020
4,4112,Macra,46,24.6562,2020
4,4113,Magliano Alfieri,2194,9.5,2020
4,4114,Magliano Alpi,2170,33.2204,2020
4,4115,Mango,1259,20.031,2020
4,4116,Manta,3782,11.7345,2020
4,4117,Marene,3271,28.9869,2020
4,4118,Margarita,1426,11.3762,2020
4,4119,Marmora,53,41.1258,2020
4,4120,Marsaglia,213,13.0258,2020
4,4121,Martiniana Po,730,13.2806,2020
4,4122,Melle,292,27.9056,2020
4,4123,Moiola,219,15.0682,2020
4,4124,Mombarcaro,263,20.5111,2020
4,4125,Mombasiglio,616,17.3498,2020
4,4126,Monastero di Vasco,1266,17.4382,2020
4,4127,Monasterolo Casotto,81,7.6796,2020
4,4128,Monasterolo di Savigliano,1372,14.9114,2020
4,4129,Monchiero,577,4.9903,2020
4,4130,Mondovì,22233,87.0516,2020
4,4131,Monesiglio,592,12.933,2020
4,4132,Monforte d'Alba,1963,25.2745,2020
4,4133,Montà,4658,26.8203,2020
4,4134,Montaldo di Mondovì,540,23.5797,2020
4,4135,Montaldo Roero,848,11.8403,2020
